1,,,,,
318,1,c,and|c,,(b and|c c R d) x^ (b.cRd)
319,1,m,not,,(not = ~)
320,,rat,not equal to,,(not equal to = zzz)
321,,m,not|i,,(not|i = nt+)
322,1,ra,R,R,variable relation
323,,,0,,
324,,,0,,Numbers
325,,,0,,
326,,na,0,,((b=0) x^ ((cGb) & (bGe))) & (c=1) & (e=1)
327,,nu,1,,((b=1) x^ ((cGb) & (bGe))) & (c=2) & (e=0)
328,,nu,2,,((b=2) x^ ((cGb) & (bGe))) & (c=3) & (e=1)
329,,na,3,,((b=3) x^ ((cGb) & (bGe))) & (c=4) & (e=2)
330,,nu,6,,((b=2) x^ ((cGb) & (bGe) & (fNb) & ((fWg) x^ ((g=h) ed^ (g=j)))) & (c=3) & (e=1)
331,,dd,at least one,,(at least one bRc) x^ ((zRc) & (zIb))
332,,dd,at least three,,(((at least three bRc) & (bOFd) & (bIe)) x^ ((zRc) & (zId) & (yRc) & (yId) & (xId) & (ed^c))) & (e=plural form)
333,,dd,at least two,,(((at least two bRc) & (bOFd) & (bIe)) x^ ((zRc) & (zId) & (yRc) & (yId))) & (e=plural form)
334,,dd,exactly one,,(exactly one b R c) x^ ((zIb) & (((yIb) & (yRc)) t^ (y=z)))
335,,dd,exactly three,,(((exactly three bRc) & (bOFd) & (bIe)) x^ ((yId) & (xId) & (yRc) & (ed^c) & (wRc) & (wId) & (((zId) & (zRc)) t^ ((z=y) ed^ (z=x) ed^ (z=w))))) & (e=plural form)
336,,dd,exactly two,,(((exactly two bRc) & (bOFd) & (bIe)) x^ ((yId) & (xId) & (yRc) & (ed^c) & (((zId) & (zRc)) t^ ((z=y) ed^ (z=x))))) & (e=plural form)
337,,a,second|m,,(z=second|m) & (y=first|m) & ((bJz) & (bIc)) x^ ((dJy) & (dIc) & (bSCMd))
338,,,second|m,,e.g. This was the second edition of War and Peace.  She was a second generation American.
339,,a,second|o,,(z=second|o) & (y=first|o) & ((bJz) & (bIc)) x^ ((dJy) & (dIc) & (bSUOd))
340,,,second|o,,e.g. The alarm went off for the second time.
341,,a,second|p,,(z=second|p) & (y=first|p) & ((bJz) & (b=c Te)) x^ ((dJy) & (d=c Tf) & (bSCPd ASCc))
342,,,second|p,,e.g. Adams was the second president.
343,,a,second|s,,(z=second|s) & (y=first|s) & ((bJz) & (bIc)) x^ ((dJy) & (dIc) & (bSCDd))
344,,,second|s,,e.g. Venus is the second planet from the sun.
345,,a,second|u,,(z=second|u) & (y=first|u) & ((bJz) & (bIc)) x^ ((dJy) & (dIc) & (bSCUd))
346,,,second|u,,e.g. The second bedroom I mentioned is over there.
347,,dd,zero,,(bR zero c) x^ ((b~Rc) & (cN0))
348,,dd,zero,,(zero = no)
349,,,.,,
350,,,.,,Determinatives
351,,,.,,
352,1,d,a,,((a bRc) x^ ((dRc) & (dIb) & (dJe))) & (e=indefinite)
353,,,a,,"e.g. when definining determinatives the determinative must be before the subject and the new indefinite variables must be w,x,y,z. If the same sentence is both antecedent and conjunct then the conjunct must appear first in the definition"
354,,ds,another,,(another bRc) x^ ((zRc) & (zIb))
355,,,any|n,,e.g. I dont have any|n cars iff I have no cars.
356,1,di,any|n,,(b~R any|n c) x^ (bR no c)
357,,d,anyone except,,((anyone except bRc) x^ ((anything except bRc) & (bId))) & (d=person)
358,,d,anything except,,(anything except bRc) x^ (((z=~b) t^ (zRc)) & (b~Rc))
359,1,db,every,,(every bRc) x^ ((zIb) t^ (zRc))
360,,,every (different),,((every b R different|b c) x^ ((dIb) t^ ((dRe) & (dRf) & (d~Rg))) & (((mIb) & (jIb) & (kIc)) t^ ((m~Rk) v+ (j~Rk)))) & (h=indefinite) & (e.f.gJh) & (e.f.gIc)
